ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D05LQX,Vyzulta,Bausch and Lomb/Valeant Pharmaceuticals,,Small molecular drug,Approved
D05LYX,,Nigerian-German Chemicals,Hypoglycemic Agents,Small molecular drug,Approved
D05MBZ,,Yamanouchi Pharmaceuticals,Anticancer Agents,Small molecular drug,Approved
D05MFA,,Glaxosmithkline,Antiinfective Agents,Small molecular drug,Approved
D05MQK,,Eli Lilly,Antiimpotence Agents,Small molecular drug,Approved
D05NOS,,Bristol-Myers Squibb,Antipsychotic Agents,Small molecular drug,Approved
D05OFX,,Schwarz Pharma,Analgesics,Small molecular drug,Approved
D05PIZ,,Roxane Laboratories,Analgesics,Small molecular drug,Approved
D05RHI,,Monarch Pharmaceuticals,Antiviral Agents,Small molecular drug,Approved
D05SBO,Verzenio,Eli Lilly,,Small molecular drug,Approved
D05SHK,,Apotex Inc,Antihypertensive Agents,Small molecular drug,Approved
D05TIB,,Allergan Pharmaceuticals,Parasympatholytics,Small molecular drug,Approved
D05UBX,,Pharmacia And Upjohn Co,Antibiotics,Small molecular drug,Approved
D05UVD,,Merck Frosst,Antiarrhythmic Agents,Small molecular drug,Approved
D05UYW,,Merck & Co,Antihypertensive Agents,Small molecular drug,Approved
D05VIL,,Eurohealth International Sarl,Anticraving Agents,Small molecular drug,Approved
D05VIX,,Pfizer Pharmaceuticals,Antilipemic Agents,Small molecular drug,Approved
D05VLS,,Merck & Co,Antiinflammatory Agents,Small molecular drug,Approved
D05ZIK,,Organon International,Antidepressants,Small molecular drug,Approved
D05ZTH,,Actelion Pharmaceuticals,Antihypertensive Agents,Small molecular drug,Approved
D05ZTJ,,Merck And Co Inc,Neurology Agents,Small molecular drug,Approved
D06ABF,,Schering-Plough Corporation,Antihistamines,Small molecular drug,Approved
D06AEO,,Schering-Plough,Anticancer Agents,Small molecular drug,Approved
D06AWE,,Reckitt; Colman,Analgesics,Small molecular drug,Approved
D06BEP,,Patheon Pharmaceuticals Inc,Antianxiety Agents,Small molecular drug,Approved
